Model,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error,R-squared
SVM,3.1374468084819243,1.7712839434946404,1.2789292416526925,0.1556443016006191
Decision Tree,6.147061928798337,2.4793269104332203,1.8291998789955903,-0.6267104113515076
K-Nearest Neighbors,4.122500380528402,2.0303941441327105,1.4858513453994284,-0.1044908281920596
Random Forest,2.985141899878096,1.727756319588528,1.2482909348492195,0.2075359365967242
Gradient Boosting,2.8808183014536293,1.6972973521023442,1.2268232287359044,0.2346584953428942
Extra Trees,2.9991289636246714,1.7317993427717515,1.25015842425609,0.2037567676557628
Linear Regression,2.723999583607656,1.6504543567174634,1.1983708248577505,0.2817914573596118
XGBoost,3.319253281525988,1.8218817968040597,1.325250397994233,0.1252322557575435
VAR,3.731919833716288,1.9318177537532597,1.3844340375731483,-0.0008404116950373
VARIMA,3.7320446494398802,1.9318500587364125,1.3844975970105184,-0.0008683383838329657
